componente,DESCRICAO_PRODUTO,UNIDADE_MEDIDA,CLASSIFICACAO_AIZI,TIPO,DESCRICAO_TIPO,ITEM_FANTASMA,quantidade_por_conjunto,quantidade_conjuntos,quantidade_necessaria,cadastro_encontrado,quantidade_total,FABRICAR,COMPRAR,MATERIA_PRIMA,ITEM_COMERCIAL
G3002424,ARRUELA LISA M6,PC,ITEM_COMERCIAL,MP,MATERIA PRIMA,,4.0,10.0,40.0,True,4.0,False,True,False,True
G3002554,TERMINAL OLHAL 6MM PRE ISOLADO,PC,ITEM_COMERCIAL,MP,MATERIA PRIMA,,2.0,10.0,20.0,True,2.0,False,True,False,True
G3003160,"PF SX FL M8 X 1,25 X 20 CL10.9 DIN6921 ZF",PC,ITEM_COMERCIAL,MP,MATERIA PRIMA,N,8.0,10.0,80.0,True,8.0,False,True,False,True
G3003418,"PF SX M20 X 2,50 X 140 RI CL 8.8 ZF",PC,ITEM_COMERCIAL,MP,MATERIA PRIMA,N,32.0,10.0,320.0,True,32.0,False,True,False,True
G3003675,"BUCHA REDUCAO FG NBR 6590 150LBS 1/2"" BSP X 1/4"" BSP NBR 6943",PC,ITEM_COMERCIAL,MP,MATERIA PRIMA,N,2.0,10.0,20.0,True,2.0,False,True,False,True
G3004330,"PF SX FL M10 X 1,50 X 25 CL8.8 DIN6921 ZF",PC,ITEM_COMERCIAL,MP,MATERIA PRIMA,N,6.0,10.0,60.0,True,6.0,False,True,False,True
G3004331,"PF SX FL M10 X 1,50 X 40 CL8.8 DIN6921 ZF",PC,ITEM_COMERCIAL,MP,MATERIA PRIMA,N,2.0,10.0,20.0,True,2.0,False,True,False,True
G3004344,"PF SX FL M8 X 1,25 X 35 CL8.8 DIN6921 ZF",PC,ITEM_COMERCIAL,MP,MATERIA PRIMA,N,308.0,10.0,3080.0,True,308.0,False,True,False,True
G3004406,"PO SX FL M12X1,75 CL8 INS NY AUTO TRAV DIN985",PC,ITEM_COMERCIAL,MP,MATERIA PRIMA,N,4.0,10.0,40.0,True,4.0,False,True,False,True
G3004428,"PF SX FL M8 X 1,25 X 25 CL8.8 DIN6921 ZF",PC,ITEM_COMERCIAL,MP,MATERIA PRIMA,N,448.0,10.0,4480.0,True,448.0,False,True,False,True
G3004553,"PF SX M14 X 2,00 X 30MM CL 8.8 DIN 933 RI ZB",PC,ITEM_COMERCIAL,MP,MATERIA PRIMA,N,8.0,10.0,80.0,True,8.0,False,True,False,True
G3004555,"PF SX M14 X 2,00 X 40 CL8.8 DIN933 RI ZB",PC,ITEM_COMERCIAL,MP,MATERIA PRIMA,N,4.0,10.0,40.0,True,4.0,False,True,False,True
